method,metric,point,ci_low,ci_high
risk_heuristic_privacy_linter,recall,0.7209,0.6751,0.767
risk_heuristic_privacy_linter,specificity,0.6538,0.5919,0.7143
risk_heuristic_privacy_linter,f1,0.737,0.6991,0.7752
risk_heuristic_privacy_linter,risk_weighted_recall,0.7489,0.7054,0.7923
keyword_sensitive_privacy_linter,recall,0.9506,0.9275,0.9713
keyword_sensitive_privacy_linter,specificity,0.3077,0.2477,0.3673
keyword_sensitive_privacy_linter,f1,0.7851,0.7537,0.8163
keyword_sensitive_privacy_linter,risk_weighted_recall,0.9523,0.9302,0.9731
pairwise_dependency_suite,recall,0.8924,0.8601,0.9226
pairwise_dependency_suite,specificity,1.0,1.0,1.0
pairwise_dependency_suite,f1,0.9432,0.9248,0.9598
pairwise_dependency_suite,risk_weighted_recall,0.8542,0.8129,0.8951
dependent_policy_full,recall,1.0,1.0,1.0
dependent_policy_full,specificity,1.0,1.0,1.0
dependent_policy_full,f1,1.0,1.0,1.0
dependent_policy_full,risk_weighted_recall,1.0,1.0,1.0
dependent_without_consent,recall,0.5843,0.5322,0.6379
dependent_without_consent,specificity,1.0,1.0,1.0
dependent_without_consent,f1,0.7376,0.6947,0.7789
dependent_without_consent,risk_weighted_recall,0.486,0.4333,0.5419
dependent_without_jurisdiction_field,recall,0.6279,0.5773,0.676
dependent_without_jurisdiction_field,specificity,1.0,1.0,1.0
dependent_without_jurisdiction_field,f1,0.7714,0.732,0.8067
dependent_without_jurisdiction_field,risk_weighted_recall,0.5635,0.5083,0.6173
