unknown_risk_load,method,adjusted_risk_weighted_recall,escaped_risk_share
0.0,risk_heuristic_privacy_linter,0.7489,0.2511
0.05,risk_heuristic_privacy_linter,0.7133,0.2867
0.1,risk_heuristic_privacy_linter,0.6809,0.3191
0.2,risk_heuristic_privacy_linter,0.6241,0.3759
0.3,risk_heuristic_privacy_linter,0.5761,0.4239
0.0,keyword_sensitive_privacy_linter,0.9523,0.0477
0.05,keyword_sensitive_privacy_linter,0.907,0.093
0.1,keyword_sensitive_privacy_linter,0.8658,0.1342
0.2,keyword_sensitive_privacy_linter,0.7936,0.2064
0.3,keyword_sensitive_privacy_linter,0.7326,0.2674
0.0,pairwise_dependency_suite,0.8542,0.1458
0.05,pairwise_dependency_suite,0.8135,0.1865
0.1,pairwise_dependency_suite,0.7765,0.2235
0.2,pairwise_dependency_suite,0.7118,0.2882
0.3,pairwise_dependency_suite,0.6571,0.3429
0.0,dependent_policy_full,1.0,0.0
0.05,dependent_policy_full,0.9524,0.0476
0.1,dependent_policy_full,0.9091,0.0909
0.2,dependent_policy_full,0.8333,0.1667
0.3,dependent_policy_full,0.7692,0.2308
